machine_id,department,failure_type,ttf
4,Welding,Mechanical,10308.09676160813
3,Packaging,Electrical,553.1562412397001
1,Packaging,Electrical,6079.8360501282295
1,Packaging,Mechanical,731.6235426225143
4,Welding,Mechanical,1779.1821452987674
2,Welding,Mechanical,165.36717761299147
4,Welding,Electrical,224.106363776811
4,Welding,Electrical,54.75096410298518
3,Packaging,Electrical,900.937397555185
2,Welding,Mechanical,325.3296369500736
4,Welding,Electrical,51.675717662486505
1,Packaging,Mechanical,1281.6437315407916
2,Welding,Mechanical,80.10566129505266
3,Packaging,Electrical,1585.378759048696
2,Welding,Mechanical,155.28509178243758
3,Packaging,Mechanical,4245.002903123381
3,Packaging,Mechanical,323.6081440338118
4,Welding,Mechanical,1401.936324347467
2,Welding,Mechanical,358.52139604624244
1,Packaging,Mechanical,4392.700178063167
3,Packaging,Mechanical,1068.7360621521634
1,Packaging,Electrical,3012.2508595902405
2,Welding,Electrical,150.3673913761443
3,Packaging,Mechanical,1179.627905842672
2,Welding,Electrical,67.43789938913253
2,Welding,Mechanical,527.3247638229197
3,Packaging,Electrical,567.8010466579232
1,Packaging,Electrical,36524.40034382843
1,Packaging,Mechanical,1690.5891891239517
1,Packaging,Mechanical,745.6556422113249
2,Welding,Electrical,693.3259920124198
4,Welding,Electrical,303.98674957168197
4,Welding,Mechanical,727.1695400169274
2,Welding,Electrical,32.951669323138674
3,Packaging,Mechanical,792.4322638494082
2,Welding,Mechanical,344.18152369382835
2,Welding,Electrical,179.46407600984173
2,Welding,Electrical,1540.801405878494
4,Welding,Mechanical,2989.716504498994
4,Welding,Mechanical,8974.407891110439
3,Packaging,Electrical,537.4573022567525
3,Packaging,Electrical,962.3233342192925
2,Welding,Mechanical,424.97862142690525
1,Packaging,Electrical,1469.4756696882032
1,Packaging,Mechanical,1736.6916466237105
2,Welding,Electrical,110.53888438701158
3,Packaging,Mechanical,2997.8581941509337
4,Welding,Mechanical,6461.1843939198625
2,Welding,Mechanical,299.97793505607774
1,Packaging,Electrical,5134.640332220864
2,Welding,Mechanical,357.7017831317616
4,Welding,Electrical,77.22624339331882
1,Packaging,Electrical,5639.777976350005
4,Welding,Electrical,695.8269526267995
4,Welding,Electrical,560.2367839556329
1,Packaging,Electrical,7262.528456988181
2,Welding,Electrical,9.797237069187583
2,Welding,Electrical,616.7071082361643
4,Welding,Mechanical,1294.1755610686953
4,Welding,Mechanical,58.65065180902594
1,Packaging,Electrical,215.8376808081563
3,Packaging,Electrical,466.9665084566937
3,Packaging,Mechanical,444.7945309967503
4,Welding,Electrical,608.420156872313
2,Welding,Electrical,273.60336679195217
4,Welding,Electrical,587.3471764144518
1,Packaging,Mechanical,1015.9031302513968
3,Packaging,Mechanical,5089.335677170249
2,Welding,Mechanical,431.59318814293863
4,Welding,Electrical,288.97691602263166
2,Welding,Mechanical,581.6289269352659
1,Packaging,Mechanical,2196.3278468304334
3,Packaging,Mechanical,2363.6592903294777
2,Welding,Mechanical,133.2118882284873
3,Packaging,Mechanical,1590.0905500915371
1,Packaging,Mechanical,502.353757598392
1,Packaging,Mechanical,1415.170588162426
1,Packaging,Electrical,1581.122316146531
1,Packaging,Mechanical,3109.515554880644
2,Welding,Electrical,1022.5407070914779
3,Packaging,Electrical,625.634599227073
4,Welding,Mechanical,361.5718656660037
1,Packaging,Electrical,890.59851626952
4,Welding,Electrical,404.7958588008838
4,Welding,Electrical,219.52599360546475
3,Packaging,Mechanical,4750.692374004268
3,Packaging,Electrical,1679.1241136859749
3,Packaging,Electrical,439.3560806953618
3,Packaging,Electrical,586.690913618013
1,Packaging,Electrical,3841.815811109875
1,Packaging,Mechanical,7.542271396742972
1,Packaging,Mechanical,2424.258320079709
2,Welding,Electrical,1406.2993794358918
1,Packaging,Electrical,3572.3667179062854
2,Welding,Mechanical,299.32661508886883
4,Welding,Electrical,165.05216190377257
1,Packaging,Mechanical,98.19826626056525
1,Packaging,Electrical,3100.264335497751
3,Packaging,Mechanical,876.8841133361761
1,Packaging,Mechanical,2324.3313638948957
3,Packaging,Electrical,456.3731464216354
1,Packaging,Electrical,31854.86052127552
4,Welding,Mechanical,350.90266076108077
2,Welding,Electrical,112.13668671614201
2,Welding,Electrical,1452.104293060574
3,Packaging,Mechanical,515.9865086104841
1,Packaging,Electrical,4634.607814531968
3,Packaging,Electrical,1406.570773837341
2,Welding,Electrical,334.46388982161784
3,Packaging,Electrical,1266.0645351999194
1,Packaging,Mechanical,2593.567802756076
4,Welding,Electrical,796.1228040115445
1,Packaging,Electrical,15677.51937601824
3,Packaging,Mechanical,1536.9679366427608
4,Welding,Electrical,620.3007708001808
1,Packaging,Mechanical,787.6892213937967
2,Welding,Mechanical,480.7032471777319
4,Welding,Mechanical,15133.305415105111
4,Welding,Mechanical,8106.682270732423
3,Packaging,Mechanical,1046.7022894386596
1,Packaging,Mechanical,2404.014607011831
1,Packaging,Mechanical,1176.0346658927324
4,Welding,Mechanical,2305.4996958939296
4,Welding,Electrical,941.1645573272001
2,Welding,Electrical,3164.4515046654137
4,Welding,Electrical,354.35105802995923
4,Welding,Electrical,183.57694091220642
1,Packaging,Mechanical,220.49504792174483
4,Welding,Mechanical,5666.478341893105
2,Welding,Electrical,2755.096941320651
2,Welding,Electrical,9.53789721384349
2,Welding,Mechanical,690.8974361121659
3,Packaging,Electrical,1797.6880274725802
1,Packaging,Mechanical,711.2409447545388
1,Packaging,Mechanical,318.8825059157839
4,Welding,Mechanical,1261.381038891502
1,Packaging,Electrical,41833.62158215257
3,Packaging,Electrical,567.3488730701155
4,Welding,Mechanical,5926.24844280102
3,Packaging,Mechanical,3027.263492873048
4,Welding,Electrical,463.388648592312
3,Packaging,Electrical,1490.322435952016
3,Packaging,Mechanical,2472.980022682945
3,Packaging,Mechanical,1066.7811384443871
1,Packaging,Mechanical,2710.6030320121554
